lft_src,etngrp_src,oplniv_src,lft_dst,etngrp_dst,oplniv_dst,n
"[0,20)",Marokkaans,1,"[60,70)",Surinaams,3,490
"[0,20)",Marokkaans,1,"[60,70)",Turks,1,3710
"[0,20)",Marokkaans,1,"[60,70)",Turks,2,400
"[0,20)",Marokkaans,1,"[60,70)",Turks,3,270
"[0,20)",Marokkaans,1,"[70,80)",Autochtoon,1,5320
"[0,20)",Marokkaans,1,"[70,80)",Autochtoon,2,3650
"[0,20)",Marokkaans,1,"[70,80)",Autochtoon,3,1640
"[0,20)",Marokkaans,1,"[70,80)",Marokkaans,1,4830
"[0,20)",Marokkaans,1,"[70,80)",Marokkaans,2,420
"[0,20)",Marokkaans,1,"[70,80)",Marokkaans,3,30
"[0,20)",Marokkaans,1,"[70,80)",Overig,1,2410
"[0,20)",Marokkaans,1,"[70,80)",Overig,2,1290
"[0,20)",Marokkaans,1,"[70,80)",Overig,3,950
"[0,20)",Marokkaans,1,"[70,80)",Surinaams,1,780
"[0,20)",Marokkaans,1,"[70,80)",Surinaams,2,580
"[0,20)",Marokkaans,1,"[70,80)",Surinaams,3,660
"[0,20)",Marokkaans,1,"[70,80)",Turks,1,2930
"[0,20)",Marokkaans,1,"[70,80)",Turks,2,160
"[0,20)",Marokkaans,1,"[80,120]",Autochtoon,1,3560
"[0,20)",Marokkaans,1,"[80,120]",Autochtoon,2,2880
"[0,20)",Marokkaans,1,"[80,120]",Marokkaans,1,840
"[0,20)",Marokkaans,1,"[80,120]",Overig,1,720
"[0,20)",Marokkaans,2,"[0,20)",Autochtoon,1,1360
"[0,20)",Marokkaans,2,"[0,20)",Autochtoon,2,70
"[0,20)",Marokkaans,2,"[0,20)",Marokkaans,1,3240
"[0,20)",Marokkaans,2,"[0,20)",Marokkaans,2,220
"[0,20)",Marokkaans,2,"[0,20)",Overig,1,1530
"[0,20)",Marokkaans,2,"[0,20)",Overig,2,110
"[0,20)",Marokkaans,2,"[0,20)",Surinaams,1,430
"[0,20)",Marokkaans,2,"[0,20)",Turks,1,1120
"[0,20)",Marokkaans,2,"[0,20)",Turks,2,90
"[0,20)",Marokkaans,2,"[20,30)",Autochtoon,1,70
"[0,20)",Marokkaans,2,"[20,30)",Autochtoon,2,380
"[0,20)",Marokkaans,2,"[20,30)",Autochtoon,3,440
"[0,20)",Marokkaans,2,"[20,30)",Marokkaans,1,320
"[0,20)",Marokkaans,2,"[20,30)",Marokkaans,2,920
"[0,20)",Marokkaans,2,"[20,30)",Marokkaans,3,180
"[0,20)",Marokkaans,2,"[20,30)",Overig,1,130
"[0,20)",Marokkaans,2,"[20,30)",Overig,2,420
"[0,20)",Marokkaans,2,"[20,30)",Overig,3,210
"[0,20)",Marokkaans,2,"[20,30)",Surinaams,1,80
"[0,20)",Marokkaans,2,"[20,30)",Surinaams,2,250
"[0,20)",Marokkaans,2,"[20,30)",Surinaams,3,20
"[0,20)",Marokkaans,2,"[20,30)",Turks,1,130
"[0,20)",Marokkaans,2,"[20,30)",Turks,2,420
"[0,20)",Marokkaans,2,"[20,30)",Turks,3,80
"[0,20)",Marokkaans,2,"[30,40)",Autochtoon,1,60
"[0,20)",Marokkaans,2,"[30,40)",Autochtoon,2,170
