etngrp_src,geslacht_src,lft_src,etngrp_dst,geslacht_dst,lft_dst,n
Autochtoon,Man,"[50,60)",Autochtoon,Man,"[0,20)",30400
Autochtoon,Man,"[50,60)",Autochtoon,Man,"[20,30)",17730
Autochtoon,Man,"[50,60)",Autochtoon,Man,"[30,40)",19370
Autochtoon,Man,"[50,60)",Autochtoon,Man,"[40,50)",21350
Autochtoon,Man,"[50,60)",Autochtoon,Man,"[50,60)",26590
Autochtoon,Man,"[50,60)",Autochtoon,Man,"[60,70)",24640
Autochtoon,Man,"[50,60)",Autochtoon,Man,"[70,80)",10170
Autochtoon,Man,"[50,60)",Autochtoon,Man,"[80,120]",2390
Autochtoon,Man,"[50,60)",Autochtoon,Vrouw,"[0,20)",28270
Autochtoon,Man,"[50,60)",Autochtoon,Vrouw,"[20,30)",19000
Autochtoon,Man,"[50,60)",Autochtoon,Vrouw,"[30,40)",18090
Autochtoon,Man,"[50,60)",Autochtoon,Vrouw,"[40,50)",20830
Autochtoon,Man,"[50,60)",Autochtoon,Vrouw,"[50,60)",24720
Autochtoon,Man,"[50,60)",Autochtoon,Vrouw,"[60,70)",19870
Autochtoon,Man,"[50,60)",Autochtoon,Vrouw,"[70,80)",11490
Autochtoon,Man,"[50,60)",Autochtoon,Vrouw,"[80,120]",5200
Autochtoon,Man,"[50,60)",Marokkaans,Man,"[0,20)",4740
Autochtoon,Man,"[50,60)",Marokkaans,Man,"[20,30)",2080
Autochtoon,Man,"[50,60)",Marokkaans,Man,"[30,40)",3190
Autochtoon,Man,"[50,60)",Marokkaans,Man,"[40,50)",2290
Autochtoon,Man,"[50,60)",Marokkaans,Man,"[50,60)",1240
Autochtoon,Man,"[50,60)",Marokkaans,Man,"[60,70)",1020
Autochtoon,Man,"[50,60)",Marokkaans,Man,"[70,80)",370
Autochtoon,Man,"[50,60)",Marokkaans,Vrouw,"[0,20)",4760
Autochtoon,Man,"[50,60)",Marokkaans,Vrouw,"[20,30)",2340
Autochtoon,Man,"[50,60)",Marokkaans,Vrouw,"[30,40)",2090
Autochtoon,Man,"[50,60)",Marokkaans,Vrouw,"[40,50)",1950
Autochtoon,Man,"[50,60)",Marokkaans,Vrouw,"[50,60)",1790
Autochtoon,Man,"[50,60)",Marokkaans,Vrouw,"[60,70)",800
Autochtoon,Man,"[50,60)",Marokkaans,Vrouw,"[70,80)",40
Autochtoon,Man,"[50,60)",Overig,Man,"[0,20)",26290
Autochtoon,Man,"[50,60)",Overig,Man,"[20,30)",22880
Autochtoon,Man,"[50,60)",Overig,Man,"[30,40)",16650
Autochtoon,Man,"[50,60)",Overig,Man,"[40,50)",13300
Autochtoon,Man,"[50,60)",Overig,Man,"[50,60)",14730
Autochtoon,Man,"[50,60)",Overig,Man,"[60,70)",8440
Autochtoon,Man,"[50,60)",Overig,Man,"[70,80)",2440
