etngrp,geslacht,lft,oplniv,n
Overig,Vrouw,"[80,120]",2,293
Overig,Vrouw,"[80,120]",3,765
Surinaams,Man,"[0,20)",1,5341
Surinaams,Man,"[0,20)",2,358
Surinaams,Man,"[0,20)",3,0
Surinaams,Man,"[20,30)",1,1134
Surinaams,Man,"[20,30)",2,3276
Surinaams,Man,"[20,30)",3,588
Surinaams,Man,"[30,40)",1,1320
Surinaams,Man,"[30,40)",2,2376
Surinaams,Man,"[30,40)",3,1102
Surinaams,Man,"[40,50)",1,1407
Surinaams,Man,"[40,50)",2,1909
Surinaams,Man,"[40,50)",3,883
Surinaams,Man,"[50,60)",1,2163
Surinaams,Man,"[50,60)",2,1962
Surinaams,Man,"[50,60)",3,774
Surinaams,Man,"[60,70)",1,1667
Surinaams,Man,"[60,70)",2,1048
Surinaams,Man,"[60,70)",3,884
Surinaams,Man,"[70,80)",1,911
Surinaams,Man,"[70,80)",2,425
Surinaams,Man,"[70,80)",3,162
Surinaams,Man,"[80,120]",1,0
Surinaams,Man,"[80,120]",2,0
Surinaams,Man,"[80,120]",3,0
Surinaams,Vrouw,"[0,20)",1,5056
Surinaams,Vrouw,"[0,20)",2,443
Surinaams,Vrouw,"[0,20)",3,0
Surinaams,Vrouw,"[20,30)",1,695
Surinaams,Vrouw,"[20,30)",2,3281
Surinaams,Vrouw,"[20,30)",3,1022
Surinaams,Vrouw,"[30,40)",1,789
Surinaams,Vrouw,"[30,40)",2,2625
Surinaams,Vrouw,"[30,40)",3,1784
Surinaams,Vrouw,"[40,50)",1,1191
Surinaams,Vrouw,"[40,50)",2,2483
Surinaams,Vrouw,"[40,50)",3,1324
Surinaams,Vrouw,"[50,60)",1,1932
Surinaams,Vrouw,"[50,60)",2,3194
Surinaams,Vrouw,"[50,60)",3,1172
Surinaams,Vrouw,"[60,70)",1,1781
Surinaams,Vrouw,"[60,70)",2,1958
Surinaams,Vrouw,"[60,70)",3,859
Surinaams,Vrouw,"[70,80)",1,1291
Surinaams,Vrouw,"[70,80)",2,348
Surinaams,Vrouw,"[70,80)",3,259
Surinaams,Vrouw,"[80,120]",1,1000
Surinaams,Vrouw,"[80,120]",2,0
Surinaams,Vrouw,"[80,120]",3,0
Turks,Man,"[0,20)",1,5620
Turks,Man,"[0,20)",2,278
Turks,Man,"[0,20)",3,1
Turks,Man,"[20,30)",1,933
Turks,Man,"[20,30)",2,2244
Turks,Man,"[20,30)",3,722
Turks,Man,"[30,40)",1,1208
Turks,Man,"[30,40)",2,2116
