etngrp_src,geslacht_src,oplniv_src,etngrp_dst,geslacht_dst,oplniv_dst,n
Marokkaans,Vrouw,2,Overig,Vrouw,1,16790
Marokkaans,Vrouw,2,Overig,Vrouw,2,33370
Marokkaans,Vrouw,2,Overig,Vrouw,3,17410
Marokkaans,Vrouw,2,Surinaams,Man,1,4480
Marokkaans,Vrouw,2,Surinaams,Man,2,7160
Marokkaans,Vrouw,2,Surinaams,Man,3,1680
Marokkaans,Vrouw,2,Surinaams,Vrouw,1,6430
Marokkaans,Vrouw,2,Surinaams,Vrouw,2,20720
Marokkaans,Vrouw,2,Surinaams,Vrouw,3,4960
Marokkaans,Vrouw,2,Turks,Man,1,4400
Marokkaans,Vrouw,2,Turks,Man,2,6190
Marokkaans,Vrouw,2,Turks,Man,3,1400
Marokkaans,Vrouw,2,Turks,Vrouw,1,7290
Marokkaans,Vrouw,2,Turks,Vrouw,2,16150
Marokkaans,Vrouw,2,Turks,Vrouw,3,3400
Marokkaans,Vrouw,3,Autochtoon,Man,1,2010
Marokkaans,Vrouw,3,Autochtoon,Man,2,9000
Marokkaans,Vrouw,3,Autochtoon,Man,3,26280
Marokkaans,Vrouw,3,Autochtoon,Vrouw,1,2190
Marokkaans,Vrouw,3,Autochtoon,Vrouw,2,11300
Marokkaans,Vrouw,3,Autochtoon,Vrouw,3,40620
Marokkaans,Vrouw,3,Marokkaans,Man,1,2320
Marokkaans,Vrouw,3,Marokkaans,Man,2,3580
Marokkaans,Vrouw,3,Marokkaans,Man,3,3590
Marokkaans,Vrouw,3,Marokkaans,Vrouw,1,2410
Marokkaans,Vrouw,3,Marokkaans,Vrouw,2,7190
Marokkaans,Vrouw,3,Marokkaans,Vrouw,3,8600
Marokkaans,Vrouw,3,Overig,Man,1,2230
Marokkaans,Vrouw,3,Overig,Man,2,4150
Marokkaans,Vrouw,3,Overig,Man,3,10760
Marokkaans,Vrouw,3,Overig,Vrouw,1,2870
Marokkaans,Vrouw,3,Overig,Vrouw,2,6770
Marokkaans,Vrouw,3,Overig,Vrouw,3,15700
Marokkaans,Vrouw,3,Surinaams,Man,1,940
Marokkaans,Vrouw,3,Surinaams,Man,2,2460
Marokkaans,Vrouw,3,Surinaams,Man,3,1970
Marokkaans,Vrouw,3,Surinaams,Vrouw,1,1290
Marokkaans,Vrouw,3,Surinaams,Vrouw,2,5330
Marokkaans,Vrouw,3,Surinaams,Vrouw,3,4630
Marokkaans,Vrouw,3,Turks,Man,1,1060
Marokkaans,Vrouw,3,Turks,Man,2,1570
Marokkaans,Vrouw,3,Turks,Man,3,1970
Marokkaans,Vrouw,3,Turks,Vrouw,1,1030
Marokkaans,Vrouw,3,Turks,Vrouw,2,3460
