geslacht_src,lft_src,etngrp_src,geslacht_dst,lft_dst,etngrp_dst,n
Man,"[0,20)",Surinaams,Man,"[40,50)",Overig,2370
Man,"[0,20)",Surinaams,Man,"[40,50)",Surinaams,1640
Man,"[0,20)",Surinaams,Man,"[40,50)",Turks,540
Man,"[0,20)",Surinaams,Man,"[50,60)",Autochtoon,2180
Man,"[0,20)",Surinaams,Man,"[50,60)",Marokkaans,830
Man,"[0,20)",Surinaams,Man,"[50,60)",Overig,2500
Man,"[0,20)",Surinaams,Man,"[50,60)",Surinaams,1430
Man,"[0,20)",Surinaams,Man,"[50,60)",Turks,440
Man,"[0,20)",Surinaams,Man,"[60,70)",Autochtoon,2000
Man,"[0,20)",Surinaams,Man,"[60,70)",Marokkaans,180
Man,"[0,20)",Surinaams,Man,"[60,70)",Overig,1520
Man,"[0,20)",Surinaams,Man,"[60,70)",Surinaams,800
Man,"[0,20)",Surinaams,Man,"[60,70)",Turks,70
Man,"[0,20)",Surinaams,Man,"[70,80)",Autochtoon,1060
Man,"[0,20)",Surinaams,Man,"[70,80)",Marokkaans,150
Man,"[0,20)",Surinaams,Man,"[70,80)",Overig,440
Man,"[0,20)",Surinaams,Man,"[70,80)",Surinaams,140
Man,"[0,20)",Surinaams,Man,"[70,80)",Turks,10
Man,"[0,20)",Surinaams,Man,"[80,120]",Autochtoon,320
Man,"[0,20)",Surinaams,Vrouw,"[0,20)",Autochtoon,4400
Man,"[0,20)",Surinaams,Vrouw,"[0,20)",Marokkaans,2440
Man,"[0,20)",Surinaams,Vrouw,"[0,20)",Overig,5780
Man,"[0,20)",Surinaams,Vrouw,"[0,20)",Surinaams,3180
Man,"[0,20)",Surinaams,Vrouw,"[0,20)",Turks,960
Man,"[0,20)",Surinaams,Vrouw,"[20,30)",Autochtoon,2340
Man,"[0,20)",Surinaams,Vrouw,"[20,30)",Marokkaans,1120
Man,"[0,20)",Surinaams,Vrouw,"[20,30)",Overig,2550
Man,"[0,20)",Surinaams,Vrouw,"[20,30)",Surinaams,1880
Man,"[0,20)",Surinaams,Vrouw,"[20,30)",Turks,500
Man,"[0,20)",Surinaams,Vrouw,"[30,40)",Autochtoon,2090
Man,"[0,20)",Surinaams,Vrouw,"[30,40)",Marokkaans,1120
Man,"[0,20)",Surinaams,Vrouw,"[30,40)",Overig,5450
Man,"[0,20)",Surinaams,Vrouw,"[30,40)",Surinaams,2120
Man,"[0,20)",Surinaams,Vrouw,"[30,40)",Turks,700
Man,"[0,20)",Surinaams,Vrouw,"[40,50)",Autochtoon,2310
Man,"[0,20)",Surinaams,Vrouw,"[40,50)",Marokkaans,1000
Man,"[0,20)",Surinaams,Vrouw,"[40,50)",Overig,3380
Man,"[0,20)",Surinaams,Vrouw,"[40,50)",Surinaams,2310
Man,"[0,20)",Surinaams,Vrouw,"[40,50)",Turks,470
Man,"[0,20)",Surinaams,Vrouw,"[50,60)",Autochtoon,2480
Man,"[0,20)",Surinaams,Vrouw,"[50,60)",Marokkaans,400
Man,"[0,20)",Surinaams,Vrouw,"[50,60)",Overig,2620
Man,"[0,20)",Surinaams,Vrouw,"[50,60)",Surinaams,2410
