geslacht,lft,etngrp,oplniv,n
Vrouw,"[40,50)",Turks,2,977
Vrouw,"[40,50)",Turks,3,517
Vrouw,"[50,60)",Autochtoon,1,4073
Vrouw,"[50,60)",Autochtoon,2,8299
Vrouw,"[50,60)",Autochtoon,3,12726
Vrouw,"[50,60)",Marokkaans,1,2903
Vrouw,"[50,60)",Marokkaans,2,597
Vrouw,"[50,60)",Marokkaans,3,99
Vrouw,"[50,60)",Overig,1,3035
Vrouw,"[50,60)",Overig,2,4247
Vrouw,"[50,60)",Overig,3,7217
Vrouw,"[50,60)",Surinaams,1,1932
Vrouw,"[50,60)",Surinaams,2,3194
Vrouw,"[50,60)",Surinaams,3,1172
Vrouw,"[50,60)",Turks,1,1689
Vrouw,"[50,60)",Turks,2,668
Vrouw,"[50,60)",Turks,3,141
Vrouw,"[60,70)",Autochtoon,1,6422
Vrouw,"[60,70)",Autochtoon,2,5738
Vrouw,"[60,70)",Autochtoon,3,9638
Vrouw,"[60,70)",Marokkaans,1,2252
Vrouw,"[60,70)",Marokkaans,2,44
Vrouw,"[60,70)",Marokkaans,3,2
Vrouw,"[60,70)",Overig,1,2966
Vrouw,"[60,70)",Overig,2,3017
Vrouw,"[60,70)",Overig,3,4116
Vrouw,"[60,70)",Surinaams,1,1781
Vrouw,"[60,70)",Surinaams,2,1958
Vrouw,"[60,70)",Surinaams,3,859
Vrouw,"[60,70)",Turks,1,1158
Vrouw,"[60,70)",Turks,2,38
Vrouw,"[60,70)",Turks,3,2
Vrouw,"[70,80)",Autochtoon,1,6136
Vrouw,"[70,80)",Autochtoon,2,4650
Vrouw,"[70,80)",Autochtoon,3,6113
Vrouw,"[70,80)",Marokkaans,1,1000
Vrouw,"[70,80)",Marokkaans,2,0
Vrouw,"[70,80)",Marokkaans,3,0
Vrouw,"[70,80)",Overig,1,1533
Vrouw,"[70,80)",Overig,2,1585
Vrouw,"[70,80)",Overig,3,1781
Vrouw,"[70,80)",Surinaams,1,1291
Vrouw,"[70,80)",Surinaams,2,348
Vrouw,"[70,80)",Surinaams,3,259
Vrouw,"[70,80)",Turks,1,600
Vrouw,"[70,80)",Turks,2,0
Vrouw,"[70,80)",Turks,3,0
Vrouw,"[80,120]",Autochtoon,1,8091
Vrouw,"[80,120]",Autochtoon,2,1916
Vrouw,"[80,120]",Autochtoon,3,692
Vrouw,"[80,120]",Marokkaans,1,300
Vrouw,"[80,120]",Marokkaans,2,0
Vrouw,"[80,120]",Marokkaans,3,0
Vrouw,"[80,120]",Overig,1,1440
Vrouw,"[80,120]",Overig,2,293
Vrouw,"[80,120]",Overig,3,765
Vrouw,"[80,120]",Surinaams,1,1000
Vrouw,"[80,120]",Surinaams,2,0
Vrouw,"[80,120]",Surinaams,3,0
Vrouw,"[80,120]",Turks,1,0
Vrouw,"[80,120]",Turks,2,0
Vrouw,"[80,120]",Turks,3,0
