lft_src,etngrp_src,lft_dst,etngrp_dst,n
"[40,50)",Autochtoon,"[60,70)",Autochtoon,12420
"[40,50)",Autochtoon,"[60,70)",Overig,590
"[40,50)",Autochtoon,"[70,80)",Autochtoon,17580
"[40,50)",Autochtoon,"[70,80)",Overig,550
"[40,50)",Autochtoon,"[80,120]",Autochtoon,370
"[40,50)",Marokkaans,"[0,20)",Autochtoon,5040
"[40,50)",Marokkaans,"[0,20)",Marokkaans,57630
"[40,50)",Marokkaans,"[0,20)",Overig,1020
"[40,50)",Marokkaans,"[0,20)",Surinaams,20
"[40,50)",Marokkaans,"[20,30)",Marokkaans,20480
"[40,50)",Marokkaans,"[20,30)",Overig,180
"[40,50)",Marokkaans,"[30,40)",Autochtoon,10
"[40,50)",Marokkaans,"[30,40)",Marokkaans,21480
"[40,50)",Marokkaans,"[30,40)",Overig,70
"[40,50)",Marokkaans,"[40,50)",Autochtoon,50
"[40,50)",Marokkaans,"[40,50)",Marokkaans,20740
"[40,50)",Marokkaans,"[40,50)",Overig,90
"[40,50)",Marokkaans,"[50,60)",Marokkaans,11870
"[40,50)",Marokkaans,"[50,60)",Overig,30
"[40,50)",Marokkaans,"[60,70)",Marokkaans,6900
"[40,50)",Marokkaans,"[70,80)",Marokkaans,3100
"[40,50)",Overig,"[0,20)",Autochtoon,9600
"[40,50)",Overig,"[0,20)",Marokkaans,440
"[40,50)",Overig,"[0,20)",Overig,47440
"[40,50)",Overig,"[0,20)",Surinaams,1490
"[40,50)",Overig,"[0,20)",Turks,40
"[40,50)",Overig,"[20,30)",Autochtoon,1620
"[40,50)",Overig,"[20,30)",Overig,11970
"[40,50)",Overig,"[20,30)",Surinaams,150
"[40,50)",Overig,"[30,40)",Autochtoon,4360
"[40,50)",Overig,"[30,40)",Marokkaans,10
"[40,50)",Overig,"[30,40)",Overig,14360
"[40,50)",Overig,"[30,40)",Surinaams,110
"[40,50)",Overig,"[40,50)",Autochtoon,6360
"[40,50)",Overig,"[40,50)",Marokkaans,90
"[40,50)",Overig,"[40,50)",Overig,28640
"[40,50)",Overig,"[40,50)",Surinaams,310
"[40,50)",Overig,"[50,60)",Autochtoon,3870
"[40,50)",Overig,"[50,60)",Overig,17580
"[40,50)",Overig,"[50,60)",Surinaams,100
"[40,50)",Overig,"[60,70)",Autochtoon,1210
"[40,50)",Overig,"[60,70)",Overig,2730
"[40,50)",Overig,"[70,80)",Autochtoon,530
"[40,50)",Overig,"[70,80)",Overig,1880
"[40,50)",Surinaams,"[0,20)",Autochtoon,5050
"[40,50)",Surinaams,"[0,20)",Marokkaans,90
"[40,50)",Surinaams,"[0,20)",Overig,1110
"[40,50)",Surinaams,"[0,20)",Surinaams,13230
"[40,50)",Surinaams,"[20,30)",Autochtoon,680
"[40,50)",Surinaams,"[20,30)",Overig,320
"[40,50)",Surinaams,"[20,30)",Surinaams,9550
"[40,50)",Surinaams,"[30,40)",Autochtoon,140
"[40,50)",Surinaams,"[30,40)",Overig,180
"[40,50)",Surinaams,"[30,40)",Surinaams,8100
"[40,50)",Surinaams,"[40,50)",Autochtoon,2900
"[40,50)",Surinaams,"[40,50)",Overig,310
"[40,50)",Surinaams,"[40,50)",Surinaams,9220
"[40,50)",Surinaams,"[50,60)",Autochtoon,150
"[40,50)",Surinaams,"[50,60)",Overig,320
"[40,50)",Surinaams,"[50,60)",Surinaams,7880
"[40,50)",Surinaams,"[60,70)",Surinaams,6300
"[40,50)",Surinaams,"[70,80)",Surinaams,2940
"[40,50)",Turks,"[0,20)",Autochtoon,1830
"[40,50)",Turks,"[0,20)",Marokkaans,120
"[40,50)",Turks,"[0,20)",Overig,680
"[40,50)",Turks,"[0,20)",Turks,16370
"[40,50)",Turks,"[20,30)",Overig,20
"[40,50)",Turks,"[20,30)",Turks,17330
"[40,50)",Turks,"[30,40)",Autochtoon,10
"[40,50)",Turks,"[30,40)",Marokkaans,10
"[40,50)",Turks,"[30,40)",Turks,6880
"[40,50)",Turks,"[40,50)",Autochtoon,40
"[40,50)",Turks,"[40,50)",Turks,9800
"[40,50)",Turks,"[50,60)",Turks,8010
"[40,50)",Turks,"[60,70)",Turks,1590
"[40,50)",Turks,"[70,80)",Turks,1120
"[50,60)",Autochtoon,"[0,20)",Autochtoon,29470
"[50,60)",Autochtoon,"[0,20)",Marokkaans,250
"[50,60)",Autochtoon,"[0,20)",Overig,21680
"[50,60)",Autochtoon,"[0,20)",Surinaams,620
"[50,60)",Autochtoon,"[0,20)",Turks,80
"[50,60)",Autochtoon,"[20,30)",Autochtoon,31840
"[50,60)",Autochtoon,"[20,30)",Marokkaans,110
"[50,60)",Autochtoon,"[20,30)",Overig,4000
"[50,60)",Autochtoon,"[20,30)",Surinaams,740
"[50,60)",Autochtoon,"[20,30)",Turks,70
"[50,60)",Autochtoon,"[30,40)",Autochtoon,14150
"[50,60)",Autochtoon,"[30,40)",Marokkaans,10
"[50,60)",Autochtoon,"[30,40)",Overig,1560
"[50,60)",Autochtoon,"[30,40)",Surinaams,270
"[50,60)",Autochtoon,"[40,50)",Autochtoon,23310
