etngrp_src,lft_src,oplniv_src,etngrp_dst,lft_dst,oplniv_dst,n
Autochtoon,"[20,30)",1,Marokkaans,"[0,20)",2,530
Autochtoon,"[20,30)",1,Marokkaans,"[20,30)",1,620
Autochtoon,"[20,30)",1,Marokkaans,"[20,30)",2,1920
Autochtoon,"[20,30)",1,Marokkaans,"[20,30)",3,280
Autochtoon,"[20,30)",1,Marokkaans,"[30,40)",1,250
Autochtoon,"[20,30)",1,Marokkaans,"[30,40)",2,620
Autochtoon,"[20,30)",1,Marokkaans,"[30,40)",3,220
Autochtoon,"[20,30)",1,Marokkaans,"[40,50)",1,310
Autochtoon,"[20,30)",1,Marokkaans,"[40,50)",2,330
Autochtoon,"[20,30)",1,Marokkaans,"[40,50)",3,120
Autochtoon,"[20,30)",1,Marokkaans,"[50,60)",1,230
Autochtoon,"[20,30)",1,Marokkaans,"[50,60)",2,110
Autochtoon,"[20,30)",1,Marokkaans,"[50,60)",3,10
Autochtoon,"[20,30)",1,Marokkaans,"[60,70)",1,50
Autochtoon,"[20,30)",1,Overig,"[0,20)",1,2840
Autochtoon,"[20,30)",1,Overig,"[0,20)",2,870
Autochtoon,"[20,30)",1,Overig,"[20,30)",1,1360
Autochtoon,"[20,30)",1,Overig,"[20,30)",2,9400
Autochtoon,"[20,30)",1,Overig,"[20,30)",3,2610
Autochtoon,"[20,30)",1,Overig,"[30,40)",1,1410
Autochtoon,"[20,30)",1,Overig,"[30,40)",2,2520
Autochtoon,"[20,30)",1,Overig,"[30,40)",3,2950
Autochtoon,"[20,30)",1,Overig,"[40,50)",1,1550
Autochtoon,"[20,30)",1,Overig,"[40,50)",2,1470
Autochtoon,"[20,30)",1,Overig,"[40,50)",3,1070
Autochtoon,"[20,30)",1,Overig,"[50,60)",1,730
Autochtoon,"[20,30)",1,Overig,"[50,60)",2,1310
Autochtoon,"[20,30)",1,Overig,"[50,60)",3,650
Autochtoon,"[20,30)",1,Overig,"[60,70)",1,430
Autochtoon,"[20,30)",1,Overig,"[60,70)",2,220
Autochtoon,"[20,30)",1,Overig,"[60,70)",3,190
Autochtoon,"[20,30)",1,Surinaams,"[0,20)",1,1370
Autochtoon,"[20,30)",1,Surinaams,"[0,20)",2,410
Autochtoon,"[20,30)",1,Surinaams,"[20,30)",1,710
Autochtoon,"[20,30)",1,Surinaams,"[20,30)",2,2090
Autochtoon,"[20,30)",1,Surinaams,"[20,30)",3,290
Autochtoon,"[20,30)",1,Surinaams,"[30,40)",1,650
Autochtoon,"[20,30)",1,Surinaams,"[30,40)",2,970
Autochtoon,"[20,30)",1,Surinaams,"[30,40)",3,320
Autochtoon,"[20,30)",1,Surinaams,"[40,50)",1,430
Autochtoon,"[20,30)",1,Surinaams,"[40,50)",2,490
Autochtoon,"[20,30)",1,Surinaams,"[40,50)",3,180
Autochtoon,"[20,30)",1,Surinaams,"[50,60)",1,520
Autochtoon,"[20,30)",1,Surinaams,"[50,60)",2,630
Autochtoon,"[20,30)",1,Surinaams,"[50,60)",3,130
Autochtoon,"[20,30)",1,Surinaams,"[60,70)",1,250
Autochtoon,"[20,30)",1,Surinaams,"[60,70)",2,200
Autochtoon,"[20,30)",1,Surinaams,"[60,70)",3,10
Autochtoon,"[20,30)",1,Turks,"[0,20)",1,1000
Autochtoon,"[20,30)",1,Turks,"[0,20)",2,210
Autochtoon,"[20,30)",1,Turks,"[20,30)",1,300
Autochtoon,"[20,30)",1,Turks,"[20,30)",2,960
Autochtoon,"[20,30)",1,Turks,"[20,30)",3,600
Autochtoon,"[20,30)",1,Turks,"[30,40)",1,170
Autochtoon,"[20,30)",1,Turks,"[30,40)",2,370
Autochtoon,"[20,30)",1,Turks,"[30,40)",3,120
Autochtoon,"[20,30)",1,Turks,"[40,50)",1,150
Autochtoon,"[20,30)",1,Turks,"[40,50)",2,140
Autochtoon,"[20,30)",1,Turks,"[40,50)",3,30
Autochtoon,"[20,30)",1,Turks,"[50,60)",1,110
Autochtoon,"[20,30)",1,Turks,"[60,70)",1,40
Autochtoon,"[20,30)",2,Autochtoon,"[0,20)",1,20810
Autochtoon,"[20,30)",2,Autochtoon,"[0,20)",2,44030
