lft_src,etngrp_src,lft_dst,etngrp_dst,n
"[30,40)",Autochtoon,"[30,40)",Autochtoon,471330
"[30,40)",Autochtoon,"[30,40)",Marokkaans,28340
"[30,40)",Autochtoon,"[30,40)",Overig,289740
"[30,40)",Autochtoon,"[30,40)",Surinaams,31540
"[30,40)",Autochtoon,"[30,40)",Turks,16920
"[30,40)",Autochtoon,"[40,50)",Autochtoon,260010
"[30,40)",Autochtoon,"[40,50)",Marokkaans,21940
"[30,40)",Autochtoon,"[40,50)",Overig,109300
"[30,40)",Autochtoon,"[40,50)",Surinaams,27350
"[30,40)",Autochtoon,"[40,50)",Turks,10150
"[30,40)",Autochtoon,"[50,60)",Autochtoon,239050
"[30,40)",Autochtoon,"[50,60)",Marokkaans,9390
"[30,40)",Autochtoon,"[50,60)",Overig,81540
"[30,40)",Autochtoon,"[50,60)",Surinaams,30540
"[30,40)",Autochtoon,"[50,60)",Turks,7010
"[30,40)",Autochtoon,"[60,70)",Autochtoon,111040
"[30,40)",Autochtoon,"[60,70)",Marokkaans,2360
"[30,40)",Autochtoon,"[60,70)",Overig,30850
"[30,40)",Autochtoon,"[60,70)",Surinaams,12750
"[30,40)",Autochtoon,"[60,70)",Turks,480
"[30,40)",Autochtoon,"[70,80)",Autochtoon,1740
"[30,40)",Autochtoon,"[70,80)",Overig,120
"[30,40)",Autochtoon,"[70,80)",Surinaams,10
"[30,40)",Marokkaans,"[0,20)",Autochtoon,3430
"[30,40)",Marokkaans,"[0,20)",Marokkaans,6520
"[30,40)",Marokkaans,"[0,20)",Overig,3610
"[30,40)",Marokkaans,"[0,20)",Surinaams,1590
"[30,40)",Marokkaans,"[0,20)",Turks,2510
"[30,40)",Marokkaans,"[20,30)",Autochtoon,32500
"[30,40)",Marokkaans,"[20,30)",Marokkaans,15440
"[30,40)",Marokkaans,"[20,30)",Overig,19450
"[30,40)",Marokkaans,"[20,30)",Surinaams,6730
"[30,40)",Marokkaans,"[20,30)",Turks,7670
"[30,40)",Marokkaans,"[30,40)",Autochtoon,32620
"[30,40)",Marokkaans,"[30,40)",Marokkaans,19760
"[30,40)",Marokkaans,"[30,40)",Overig,24600
"[30,40)",Marokkaans,"[30,40)",Surinaams,7130
"[30,40)",Marokkaans,"[30,40)",Turks,8580
"[30,40)",Marokkaans,"[40,50)",Autochtoon,27430
"[30,40)",Marokkaans,"[40,50)",Marokkaans,15270
"[30,40)",Marokkaans,"[40,50)",Overig,14910
"[30,40)",Marokkaans,"[40,50)",Surinaams,6660
"[30,40)",Marokkaans,"[40,50)",Turks,6600
"[30,40)",Marokkaans,"[50,60)",Autochtoon,32790
"[30,40)",Marokkaans,"[50,60)",Marokkaans,9550
"[30,40)",Marokkaans,"[50,60)",Overig,16150
"[30,40)",Marokkaans,"[50,60)",Surinaams,8910
"[30,40)",Marokkaans,"[50,60)",Turks,5130
"[30,40)",Marokkaans,"[60,70)",Autochtoon,17260
"[30,40)",Marokkaans,"[60,70)",Marokkaans,850
"[30,40)",Marokkaans,"[60,70)",Overig,5820
"[30,40)",Marokkaans,"[60,70)",Surinaams,3760
"[30,40)",Marokkaans,"[60,70)",Turks,960
"[30,40)",Marokkaans,"[70,80)",Autochtoon,50
"[30,40)",Marokkaans,"[70,80)",Overig,10
"[30,40)",Marokkaans,"[70,80)",Surinaams,10
"[30,40)",Overig,"[0,20)",Autochtoon,22450
"[30,40)",Overig,"[0,20)",Marokkaans,25830
"[30,40)",Overig,"[0,20)",Overig,23540
"[30,40)",Overig,"[0,20)",Surinaams,6400
"[30,40)",Overig,"[0,20)",Turks,9780
"[30,40)",Overig,"[20,30)",Autochtoon,289850
"[30,40)",Overig,"[20,30)",Marokkaans,35080
"[30,40)",Overig,"[20,30)",Overig,281560
"[30,40)",Overig,"[20,30)",Surinaams,30460
"[30,40)",Overig,"[20,30)",Turks,16260
"[30,40)",Overig,"[30,40)",Autochtoon,297360
