etngrp_src,lft_src,etngrp_dst,lft_dst,n
Autochtoon,"[40,50)",Overig,"[0,20)",9660
Autochtoon,"[40,50)",Overig,"[20,30)",1300
Autochtoon,"[40,50)",Overig,"[30,40)",3820
Autochtoon,"[40,50)",Overig,"[40,50)",6360
Autochtoon,"[40,50)",Overig,"[50,60)",2130
Autochtoon,"[40,50)",Overig,"[60,70)",590
Autochtoon,"[40,50)",Overig,"[70,80)",550
Autochtoon,"[40,50)",Surinaams,"[0,20)",800
Autochtoon,"[40,50)",Surinaams,"[20,30)",210
Autochtoon,"[40,50)",Surinaams,"[30,40)",150
Autochtoon,"[40,50)",Surinaams,"[40,50)",2900
Autochtoon,"[40,50)",Surinaams,"[50,60)",130
Autochtoon,"[40,50)",Turks,"[0,20)",350
Autochtoon,"[40,50)",Turks,"[40,50)",40
Autochtoon,"[50,60)",Autochtoon,"[0,20)",29470
Autochtoon,"[50,60)",Autochtoon,"[20,30)",31840
Autochtoon,"[50,60)",Autochtoon,"[30,40)",14150
Autochtoon,"[50,60)",Autochtoon,"[40,50)",23310
Autochtoon,"[50,60)",Autochtoon,"[50,60)",63050
Autochtoon,"[50,60)",Autochtoon,"[60,70)",23180
Autochtoon,"[50,60)",Autochtoon,"[70,80)",13770
Autochtoon,"[50,60)",Autochtoon,"[80,120]",6750
Autochtoon,"[50,60)",Marokkaans,"[0,20)",250
Autochtoon,"[50,60)",Marokkaans,"[20,30)",110
Autochtoon,"[50,60)",Marokkaans,"[30,40)",10
Autochtoon,"[50,60)",Marokkaans,"[50,60)",10
Autochtoon,"[50,60)",Overig,"[0,20)",21680
Autochtoon,"[50,60)",Overig,"[20,30)",4000
Autochtoon,"[50,60)",Overig,"[30,40)",1560
Autochtoon,"[50,60)",Overig,"[40,50)",3870
Autochtoon,"[50,60)",Overig,"[50,60)",8310
Autochtoon,"[50,60)",Overig,"[60,70)",1730
Autochtoon,"[50,60)",Surinaams,"[0,20)",620
Autochtoon,"[50,60)",Surinaams,"[20,30)",740
Autochtoon,"[50,60)",Surinaams,"[30,40)",270
Autochtoon,"[50,60)",Surinaams,"[40,50)",150
Autochtoon,"[50,60)",Surinaams,"[50,60)",1700
Autochtoon,"[50,60)",Turks,"[0,20)",80
Autochtoon,"[50,60)",Turks,"[20,30)",70
Autochtoon,"[50,60)",Turks,"[50,60)",10
Autochtoon,"[60,70)",Autochtoon,"[0,20)",13440
Autochtoon,"[60,70)",Autochtoon,"[20,30)",22050
Autochtoon,"[60,70)",Autochtoon,"[30,40)",23510
Autochtoon,"[60,70)",Autochtoon,"[40,50)",12420
Autochtoon,"[60,70)",Autochtoon,"[50,60)",23180
Autochtoon,"[60,70)",Autochtoon,"[60,70)",64260
Autochtoon,"[60,70)",Autochtoon,"[70,80)",25320
Autochtoon,"[60,70)",Autochtoon,"[80,120]",530
Autochtoon,"[60,70)",Marokkaans,"[0,20)",60
Autochtoon,"[60,70)",Overig,"[0,20)",2580
Autochtoon,"[60,70)",Overig,"[20,30)",4490
Autochtoon,"[60,70)",Overig,"[30,40)",2840
Autochtoon,"[60,70)",Overig,"[40,50)",1210
Autochtoon,"[60,70)",Overig,"[50,60)",3360
Autochtoon,"[60,70)",Overig,"[60,70)",11490
Autochtoon,"[60,70)",Overig,"[70,80)",260
Autochtoon,"[60,70)",Surinaams,"[0,20)",400
Autochtoon,"[60,70)",Surinaams,"[20,30)",360
Autochtoon,"[60,70)",Surinaams,"[30,40)",90
Autochtoon,"[60,70)",Surinaams,"[50,60)",10
Autochtoon,"[60,70)",Turks,"[0,20)",10
Autochtoon,"[70,80)",Autochtoon,"[0,20)",13990
Autochtoon,"[70,80)",Autochtoon,"[20,30)",5840
Autochtoon,"[70,80)",Autochtoon,"[30,40)",9230
Autochtoon,"[70,80)",Autochtoon,"[40,50)",17580
Autochtoon,"[70,80)",Autochtoon,"[50,60)",13770
Autochtoon,"[70,80)",Autochtoon,"[60,70)",25320
Autochtoon,"[70,80)",Autochtoon,"[70,80)",136190
Autochtoon,"[70,80)",Autochtoon,"[80,120]",9910
Autochtoon,"[70,80)",Overig,"[0,20)",2780
Autochtoon,"[70,80)",Overig,"[20,30)",350
Autochtoon,"[70,80)",Overig,"[30,40)",360
Autochtoon,"[70,80)",Overig,"[40,50)",530
Autochtoon,"[70,80)",Overig,"[50,60)",10
Autochtoon,"[70,80)",Overig,"[60,70)",1460
Autochtoon,"[70,80)",Overig,"[70,80)",9800
Autochtoon,"[70,80)",Surinaams,"[0,20)",210
Autochtoon,"[80,120]",Autochtoon,"[0,20)",3280
Autochtoon,"[80,120]",Autochtoon,"[20,30)",3650
Autochtoon,"[80,120]",Autochtoon,"[30,40)",440
Autochtoon,"[80,120]",Autochtoon,"[40,50)",370
Autochtoon,"[80,120]",Autochtoon,"[50,60)",6750
Autochtoon,"[80,120]",Autochtoon,"[60,70)",530
Autochtoon,"[80,120]",Autochtoon,"[70,80)",9910
Autochtoon,"[80,120]",Autochtoon,"[80,120]",63820
Marokkaans,"[0,20)",Autochtoon,"[0,20)",17560
Marokkaans,"[0,20)",Autochtoon,"[20,30)",180
Marokkaans,"[0,20)",Autochtoon,"[30,40)",270
Marokkaans,"[0,20)",Autochtoon,"[40,50)",360
Marokkaans,"[0,20)",Autochtoon,"[50,60)",250
Marokkaans,"[0,20)",Autochtoon,"[60,70)",60
Marokkaans,"[0,20)",Marokkaans,"[0,20)",175840
Marokkaans,"[0,20)",Marokkaans,"[20,30)",69610
Marokkaans,"[0,20)",Marokkaans,"[30,40)",59770
Marokkaans,"[0,20)",Marokkaans,"[40,50)",57630
Marokkaans,"[0,20)",Marokkaans,"[50,60)",26390
Marokkaans,"[0,20)",Marokkaans,"[60,70)",15890
Marokkaans,"[0,20)",Marokkaans,"[70,80)",14240
Marokkaans,"[0,20)",Marokkaans,"[80,120]",220
Marokkaans,"[0,20)",Overig,"[0,20)",3170
Marokkaans,"[0,20)",Overig,"[20,30)",1000
Marokkaans,"[0,20)",Overig,"[30,40)",570
Marokkaans,"[0,20)",Overig,"[40,50)",440
Marokkaans,"[0,20)",Overig,"[50,60)",410
Marokkaans,"[0,20)",Overig,"[60,70)",170
Marokkaans,"[0,20)",Surinaams,"[0,20)",240
Marokkaans,"[0,20)",Surinaams,"[20,30)",210
Marokkaans,"[0,20)",Surinaams,"[30,40)",160
Marokkaans,"[0,20)",Surinaams,"[40,50)",90
Marokkaans,"[0,20)",Surinaams,"[50,60)",70
Marokkaans,"[0,20)",Turks,"[0,20)",330
Marokkaans,"[0,20)",Turks,"[20,30)",210
Marokkaans,"[0,20)",Turks,"[30,40)",110
Marokkaans,"[0,20)",Turks,"[40,50)",120
Marokkaans,"[0,20)",Turks,"[50,60)",170
Marokkaans,"[0,20)",Turks,"[60,70)",10
Marokkaans,"[20,30)",Autochtoon,"[0,20)",9610
Marokkaans,"[20,30)",Autochtoon,"[20,30)",70
Marokkaans,"[20,30)",Autochtoon,"[40,50)",10
Marokkaans,"[20,30)",Autochtoon,"[50,60)",110
Marokkaans,"[20,30)",Marokkaans,"[0,20)",69610
