etngrp_src,lft_src,etngrp_dst,lft_dst,n
Marokkaans,"[50,60)",Autochtoon,"[40,50)",9900
Marokkaans,"[50,60)",Autochtoon,"[50,60)",16210
Marokkaans,"[50,60)",Autochtoon,"[60,70)",7530
Marokkaans,"[50,60)",Marokkaans,"[0,20)",1850
Marokkaans,"[50,60)",Marokkaans,"[20,30)",5800
Marokkaans,"[50,60)",Marokkaans,"[30,40)",9690
Marokkaans,"[50,60)",Marokkaans,"[40,50)",9580
Marokkaans,"[50,60)",Marokkaans,"[50,60)",6410
Marokkaans,"[50,60)",Marokkaans,"[60,70)",890
Marokkaans,"[50,60)",Overig,"[0,20)",850
Marokkaans,"[50,60)",Overig,"[20,30)",4160
Marokkaans,"[50,60)",Overig,"[30,40)",9140
Marokkaans,"[50,60)",Overig,"[40,50)",9830
Marokkaans,"[50,60)",Overig,"[50,60)",8520
Marokkaans,"[50,60)",Overig,"[60,70)",3530
Marokkaans,"[50,60)",Surinaams,"[0,20)",290
Marokkaans,"[50,60)",Surinaams,"[20,30)",1600
Marokkaans,"[50,60)",Surinaams,"[30,40)",2790
Marokkaans,"[50,60)",Surinaams,"[40,50)",2680
Marokkaans,"[50,60)",Surinaams,"[50,60)",4540
Marokkaans,"[50,60)",Surinaams,"[60,70)",2950
Marokkaans,"[50,60)",Turks,"[0,20)",600
Marokkaans,"[50,60)",Turks,"[20,30)",2140
Marokkaans,"[50,60)",Turks,"[30,40)",3120
Marokkaans,"[50,60)",Turks,"[40,50)",4340
Marokkaans,"[50,60)",Turks,"[50,60)",4510
Marokkaans,"[50,60)",Turks,"[60,70)",860
Marokkaans,"[60,70)",Autochtoon,"[0,20)",90
Marokkaans,"[60,70)",Autochtoon,"[20,30)",2230
Marokkaans,"[60,70)",Autochtoon,"[30,40)",2290
Marokkaans,"[60,70)",Autochtoon,"[40,50)",1590
Marokkaans,"[60,70)",Autochtoon,"[50,60)",2480
Marokkaans,"[60,70)",Autochtoon,"[60,70)",1650
Marokkaans,"[60,70)",Marokkaans,"[0,20)",120
Marokkaans,"[60,70)",Marokkaans,"[20,30)",260
Marokkaans,"[60,70)",Marokkaans,"[30,40)",940
Marokkaans,"[60,70)",Marokkaans,"[40,50)",1040
Marokkaans,"[60,70)",Marokkaans,"[50,60)",1010
Marokkaans,"[60,70)",Marokkaans,"[60,70)",140
Marokkaans,"[60,70)",Overig,"[0,20)",160
Marokkaans,"[60,70)",Overig,"[20,30)",760
Marokkaans,"[60,70)",Overig,"[30,40)",1140
Marokkaans,"[60,70)",Overig,"[40,50)",1710
Marokkaans,"[60,70)",Overig,"[50,60)",1460
Marokkaans,"[60,70)",Overig,"[60,70)",680
Marokkaans,"[60,70)",Surinaams,"[0,20)",40
Marokkaans,"[60,70)",Surinaams,"[20,30)",300
Marokkaans,"[60,70)",Surinaams,"[30,40)",250
Marokkaans,"[60,70)",Surinaams,"[40,50)",270
Marokkaans,"[60,70)",Surinaams,"[50,60)",1400
Marokkaans,"[60,70)",Surinaams,"[60,70)",560
Marokkaans,"[60,70)",Turks,"[0,20)",30
Marokkaans,"[60,70)",Turks,"[20,30)",150
Marokkaans,"[60,70)",Turks,"[30,40)",470
Marokkaans,"[60,70)",Turks,"[40,50)",540
Marokkaans,"[60,70)",Turks,"[50,60)",1050
Marokkaans,"[60,70)",Turks,"[60,70)",100
Overig,"[0,20)",Autochtoon,"[0,20)",619200
Overig,"[0,20)",Autochtoon,"[20,30)",58310
Overig,"[0,20)",Autochtoon,"[30,40)",12740
Overig,"[0,20)",Autochtoon,"[40,50)",8030
Overig,"[0,20)",Autochtoon,"[50,60)",8000
Overig,"[0,20)",Autochtoon,"[60,70)",2990
Overig,"[0,20)",Autochtoon,"[70,80)",60
Overig,"[0,20)",Marokkaans,"[0,20)",249420
Overig,"[0,20)",Marokkaans,"[20,30)",18810
Overig,"[0,20)",Marokkaans,"[30,40)",3550
Overig,"[0,20)",Marokkaans,"[40,50)",2160
Overig,"[0,20)",Marokkaans,"[50,60)",900
Overig,"[0,20)",Marokkaans,"[60,70)",180
Overig,"[0,20)",Overig,"[0,20)",622740
Overig,"[0,20)",Overig,"[20,30)",81590
